"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Tim Federowicz",2700,"ChC@SD 10:10PM ET",2.385,"ChC"
"1B/3B","Jake Elmore",2700,"Col@Mil 07:20PM ET",2.216,"Mil"
"OF","Rymer Liriano",2700,"Col@Mil 07:20PM ET",0,"Mil"
"OF","Ramon Flores",2700,"Col@Mil 07:20PM ET",3.250,"Mil"
"2B/3B","Christian Villanueva",2700,"ChC@SD 10:10PM ET",0,"ChC"
"SS","Erik Gonzalez",2700,"Cle@Oak 10:05PM ET",0.900,"Cle"
"OF","Juan Perez",2700,"ChC@SD 10:10PM ET",0,"ChC"
"C","Rob Brantly",2700,"NYY@Sea 10:10PM ET",0,"Sea"
"2B/SS","Yadiel Rivera",2700,"Col@Mil 07:20PM ET",2.900,"Mil"
"3B","Jeimer Candelario",2700,"ChC@SD 10:10PM ET",1.800,"ChC"
"OF","Joey Rickard",2700,"Was@Bal 07:05PM ET",5.059,"Bal"
"OF","Clint Frazier",2700,"Cle@Oak 10:05PM ET",0,"Cle"
"1B","Tyler White",2700,"Hou@Pit 07:05PM ET",4.912,"Hou"
"1B/OF","Corey Hart",2600,"Hou@Pit 07:05PM ET",0,"Pit"
"1B","Michael Morse",2600,"Hou@Pit 07:05PM ET",0.000,"Pit"
"C","Chris Gimenez",2600,"Cle@Oak 10:05PM ET",3.077,"Cle"
"OF","Antoan Richardson",2600,"Hou@Pit 07:05PM ET",0,"Pit"
"C","Tuffy Gosewisch",2600,"Atl@Ari 09:40PM ET",4.300,"Ari"
"OF","Jake Smolinski",2600,"Cle@Oak 10:05PM ET",5.194,"Oak"
"1B/3B","Brett Wallace",2600,"ChC@SD 10:10PM ET",3.306,"SD"
"2B/OF","Rafael Ynoa",2600,"Col@Mil 07:20PM ET",0.000,"Col"
"OF","Cesar Puello",2600,"NYY@Sea 10:10PM ET",0,"NYY"
"OF","Slade Heathcott",2600,"NYY@Sea 10:10PM ET",0,"NYY"
"OF","Oswaldo Arcia",2600,"Bos@TB 07:10PM ET",5.074,"TB"
"C","Elias Diaz",2600,"Hou@Pit 07:05PM ET",2.000,"Pit"
"2B/SS","Cristhian Adames",2600,"Col@Mil 07:20PM ET",2.256,"Col"
"2B/3B","Josh Rutledge",2600,"Bos@TB 07:10PM ET",3.464,"Bos"
"C","Jacob Stallings",2600,"Hou@Pit 07:05PM ET",3.500,"Pit"
"2B/3B","Marco Hernandez",2600,"Bos@TB 07:10PM ET",3.000,"Bos"
"OF","Tyler Austin",2600,"NYY@Sea 10:10PM ET",5.000,"NYY"
"OF","Preston Tucker",2600,"Hou@Pit 07:05PM ET",3.604,"Hou"
"1B/3B","Travis Shaw",2600,"Bos@TB 07:10PM ET",6.776,"Bos"
"SS","Ketel Marte",2600,"NYY@Sea 10:10PM ET",5.941,"Sea"
"OF","Josh Bell",2600,"Hou@Pit 07:05PM ET",6.000,"Pit"
